ID,Parameter_ID,Language_ID,Value,Source
inchoative-stem-from-intransitive,formation-intransitive-suffix,gvn,-maniji-y,§3.8.5.3
inchoative-suffix-ma-l-productivity,inchoative-suffix-ma-l-productivity,gvn,highly productive,§(i)
inchoative-suffix-ma-l-morphology,inchoative-suffix-ma-l-morphology,gvn,derivational (not a compound); takes imperative inflection -ka on multisyllabic stems and undergoes whole-stem reduplication,§(i)
inchoative-suffix-maniji-y-compound,inchoative-suffix-maniji-y-compound,gvn,compound,§(ii)
inchoative-suffix-maniji-y-usage,inchoative-suffix-maniji-y-usage,gvn,limited use; attaches to inflected nouns, comitative stems, and roots,§(ii)
syntactic-derivation-reciprocal,derivational-process,gvn,reciprocal,§3.8.5.4
syntactic-derivation-reflexive,derivational-process,gvn,reflexive,§3.8.5.4
transitivity-conjugation-change,conjugation-change,gvn,l-to-y,§3.8.5.4
reciprocal-suffix,stemforming-suffix,gvn,-wa-,§3.8.5.4
reciprocal-suffix-free-variation,free-variation-with-plural-subject-marker,gvn,-ri-,§3.8.5.5(i)
reflexive-suffix-ji,reflexive-suffix,gvn,present,§4.2.4.2
reflexive-object-omission,reflexive-object-omission,gvn,mandatory,§4.2.4.2
intransitivising-suffix-ji,intransitivising-suffix,gvn,present,"§4.2.4.3; §4.2.4.4"
non-syntactic-reduplication,reduplication-derivation,gvn,yes,§3.8.5.5
non-syntactic-plural-subject-agreement,plural-subject-agreement,gvn,optional,§3.8.5.5
verb-plurality-devices,plural-verb-devices,gvn,absent,§3.8.5.5
adverbial-modification-types,adverbial-forms,gvn,particle; adjective-derived,§3.B.6
adverbial-forms-inflection,inflectional-possibilities,gvn,none,§3.B.6
adverbial-particles-present,adverbial-particles,gvn,yes,§3.8.6.1
adverbial-particles-simple-root,simple-root-form,gvn,yes,§3.8.6.1
adverbial-particles-optional-manner-suffix,manner-suffix-optional,gvn,yes,§3.8.6.1
adverbial-particles-noun-phrase-exclusion,cannot-be-part-of-noun-phrase,gvn,yes,§3.8.6.1
adverbial-particles-reduplication,reduplication,gvn,yes,§3.8.6.2
adverbial-particles-position,position,gvn,"free (can occur anywhere, but verb-adjacent is preferred)",§3.8.6.1
derived-adverb-suffix-ku,adverb-formation-suffix-ku,gvn,most productive,§3.8
derived-adverb-reduplication,adverb-formation-reduplication,gvn,less frequent,§3.8
derived-adverb-reduplication-plus-ku,adverb-formation-reduplication-plus-ku,gvn,very rarely used,§3.8
comitative-privative-adverb-reduplication,adverb-formation-reduplication-comitative-privative,gvn,disfavoured,§3.8
free-form-particles,free-form-particles,gvn,present,§3.9
free-form-particle-groups,free-form-particle-groups,gvn,adjectival; comparison; negation; discourse,§3.9
adjectival-particles-count,adjectival-particles-count,gvn,4,§3.9.1
adjectival-particles-predicator,adjectival-particles-predicator-function,gvn,"dative noun or purposive verb complement",§3.9.1
adjectival-particles-verb-stem-formation,adjectival-particles-verb-stem-formation,gvn,"forms causative with -bunga-l and inchoative with -ma-l",§3.9.1
adjectival-particles-privative,adjectival-particles-privative-stem,gvn,"all except juburr",§3.9.1
adjectival-particles-degree-suffix,adjectival-particles-degree-suffix,gvn,"all except wawu (takes -bajaku)",§3.9.1
particles-no-derivation,derivational-possibilities,gvn,none,§3.9.2
comparison-particle-emphatic-clitic,emphatic-clitic-attachment,gvn,optional,§3.9.2
comparison-particle-word-order,syntactic-flexibility,gvn,free-order,§3.9.2
yinil-comitative-form,comitative-form,gvn,free-variation,§3.9.2
ex207-ergative-case,ergative-case,gvn,yes,ex(207)
ex207-dative-case,dative-case,gvn,yes,ex(207)
ex207-past-tense,past-tense,gvn,yes,ex(207)
negation-particle-kari,negation-particle,gvn,kari,§4.9.3
negation-particle-balu,negation-particle,gvn,balu,§4.9.2
kari-attached-clitics,negation-particle-clitics,gvn,"-ku (general emphasis), -rrku (totality)",§3.10.2
balu-attached-clitic,negation-particle-clitics,gvn,"-da (temporal)",§3.10.1
kari-discourse,discourse-particle,gvn,yes,§5.5.3
balu-discourse,discourse-particle,gvn,yes,§4.9.2
clitics-bound,bound-morphemes,gvn,yes,§3.10
clitics-position-word-final,enclitic-position,gvn,word-finally,§3.10
clitics-stress,enclitic-stressability,gvn,cannot-be-stressed,§3.10
clitics-attachment,enclitic-attachment,gvn,no-part-of-speech-restriction,§3.10
temporal-clitic-da,temporal-clitic-da,gvn,"then marker; typically appears on the final verb in a sequence and is attested with verbs and other parts of speech",§10.1
temporal-clitic-ku,temporal-clitic-ku,gvn,"ambiguous marker interpreted as either 'before' or emphatic; temporal meaning clear only in specific time words",§10.1
temporal-clitic-kuda,temporal-clitic-kuda,gvn,"marker with a plausible interpretation as 'meanwhile'; used mostly with verbs, but also with nominals and pronouns",§10.1
temporal-clitic-ngvrr,temporal-clitic-ngvrr,gvn,"marker meaning 'first of all', indicating either the first action or referent; attested with verbs, nouns and pronouns, with a reduced form (-rr) in imperatives",§10.1
proclitic-wawu,proclitic-wawu,gvn,"proclitic occurring with ablative forms, meaning 'since, after' in temporal constructions",§10.1
ku-emphatic-clitic,emphatic-clitic-general,gvn,yes,§3.10.2
lu-emphatic-clitic,emphatic-clitic-attention-getting,gvn,yes,§3.10.2
bi-emphatic-clitic,emphatic-clitic-surprise,gvn,yes,§3.10.2
rrku-emphatic-clitic,emphatic-clitic-totality-exclusive,gvn,restricted,§3.10.2
clitic-baja-dual-function,clitic-function,gvn,stem-forming suffix with adjectives and post-inflectional clitic with verbs,§10.3
clitic-baja-adj-ku,clitic-cooccurrence,gvn,with adjectives -baja always occurs with emphatic clitic -ku,§10.3
clitic-baja-verb-ku,clitic-restriction,gvn,with verbs -baja cannot be followed by -ku,§10.3
clitic-baja-semantics,clitic-meaning,gvn,expresses high intensity with adjectives and state verbs and means "again" with action/motion verbs,§10.3
clitic-ji,clitic-attachment,gvn,attaches only to pronouns to express "X’s turn" or reciprocal action,§10.3
clitic-ordering,clitic-ordering,gvn,"temporal clitic precedes emphatic clitics",§10.4
temporal-clitic-cooccurrence,temporal-clitic-cooccurrence,gvn,mutually-exclusive,§10.4
emphatic-clitic-cooccurrence,emphatic-clitic-cooccurrence,gvn,ordered-numerically,§10.4
verbal-clitic-cooccurrence,verbal-clitic-cooccurrence,gvn,non-cooccurring,§10.4
monosyllabic-interjections,monosyllabic-interjection-count,gvn,4,§3.11
polysyllabic-interjections,polysyllabic-interjection-count,gvn,7,§3.11
interjections-affixation,affixation-on-interjections,gvn,no,§3.11
interjections-intonation,distinct-intonation-group,gvn,yes,§3.11
loan-noun-catalytic-suffix,loan-noun-catalytic-suffix,gvn,-mun-,§3.12
loan-noun-catalytic-suffix-optionality,loan-noun-catalytic-suffix-optional,gvn,optional,§3.12
loan-adjective-suffix,loan-adjective-suffix,gvn,-bala,§3.12
loan-inchoative-verbaliser,loan-verb-inchoative-verbaliser,gvn,-ma-l,§3.12
reduplication,reduplication,gvn,yes,Chapter 3
causative-suffix,causative-suffix,gvn,-mani-l,§3.8.5.1
passive-suffix,passive-suffix,gvn,-ji-,§3.8.5.1
transitive-suffix,transitive-suffix,gvn,-im,Chapter 3
transitive-verbaliser,transitive-verbaliser,gvn,"-bunga-l ~ -ba-l",Chapter 3
simple-sentence-constituents,simple-sentence-constituents,gvn,verb-complex + noun-phrases,§4.1
absence-of-copula,copula,gvn,absent,§4.1
sentence-type-contrast,sentence-type-contrast,gvn,verbal vs nominal,§4.1
np-contiguity,noun-phrase-contiguity,gvn,"continuous or discontinuous arrangement",§4.1.1
np-case-agreement,np-case-agreement,gvn,"all NP constituents must agree in case marking; possessive constructions exempt",§4.1.1
np-generic-classifier,generic-term-classifier,gvn,"restricted to 'minya' (flesh food) and 'mayi' (plant food) in classifier function",§4.1.1
np-demonstrative-position,demonstrative-placement,gvn,"flexible (may precede or follow the noun in single noun NPs; preferred initial position in two-noun NPs)",§4.1.1
np-modifier-order,modifier-order,gvn,"generally post-head; when combined adjective follows and quantifier precedes the head",§4.1.1
np-possessive-position,possessive-position,gvn,"variable (may precede or follow the noun)",§4.1.1
np-inalienable-possession,inalienable-possession,gvn,"appositional structure where the possessed part follows the possessor",§4.1.1
transitive-intransitive-distinction,verb-transitivity,gvn,strict,§4.1.3
intransitive-subject-case,intransitive-subject-case,gvn,nominative-or-absolutive,§4.1.3
intransitive-subject-animacy,intransitive-subject-animacy,gvn,animate-or-inanimate,§4.1.3
transitive-core-noun-phrases,core-noun-phrase-count,gvn,2,§4
agent-noun-phrase-case,agent-case-marking,gvn,"pronoun: nominative; nominal: ergative",§4
object-noun-phrase-case,object-case-marking,gvn,"pronoun: accusative; nominal: absolutive",§4
optional-noun-phrase-drop,core-noun-phrase-optional,gvn,context-dependent,§4
inanimate-agent-case,instrumental-case,gvn,applied,§4
ergative-instrumental-homophony,ergative-instrumental-homophony,gvn,yes,§4
animacy-transitivity-impact,transitivity-animacy,gvn,no effect,§4
functional-case-splitting,differentiates-ergative-instrumental,gvn,yes,§1.4.1
core-syntactic-noun-cases,noun-cases,gvn,ergative/absolutive,§1.4.1
core-syntactic-pronoun-cases,pronoun-cases,gvn,nominative/accusative,§1.4.1
double-case-inflections,double-case-inflections,gvn,"ergative, dative, general-locative, ablative",§1.4.2
animacy-influence-on-case-inflection,animacy-influence,gvn,"choice of case inflection influenced by animacy/inanimacy (not determined by fixed noun classes)",§1.4.2
non-zero-case-inflection-types,case-inflection-types,gvn,"potent, neutral",Chapter 4
case-marking-category-1,head-noun-case-marking,gvn,set-x,Table 4.1
case-marking-category-2,head-noun-case-marking,gvn,"set-x or set-y",Table 4.1
case-marking-category-3,head-noun-case-marking,gvn,set-y,Table 4.1
case-marking-pronouns,np-case-marking,gvn,set-x,Table 4.2
case-marking-adjectives,np-case-marking,gvn,"set-x or set-y",Table 4.2
case-marking-demonstratives,np-case-marking,gvn,"set-x or set-y",Table 4.2
case-marking-interrogative-who,np-case-marking,gvn,set-x,Table 4.2
case-marking-interrogative-what-where,np-case-marking,gvn,set-y,Table 4.2
case-marking-possessive,np-case-marking,gvn,set-y,Table 4.2
case-marking-numerals,np-case-marking,gvn,set-y,Table 4.2
case-marking-location-time,np-case-marking,gvn,set-y,Table 4.2
core-syntactic-cases-absolutive-nominal,absolutive-case,gvn,zero,§4.1.4.3
core-syntactic-cases-nominative-pronoun,nominative-case,gvn,present,§4.1.4.3
np-a-function-nominal-case,a-function-nominal-case,gvn,ergative,§3.2.2
np-a-function-pronoun-case,a-function-pronoun-case,gvn,nominative,§3.5.1
cat2-ergative-inflection,ergative-inflection-category-2,gvn,"potent/neutral",§4
np-0-function-nominal-case,np-0-nominal-case,gvn,absolutive,§4
np-0-function-pronoun-case,np-0-pronoun-case,gvn,accusative,§4
instrumental-potent-case-inflection,potent-case-inflection,gvn,no,§(i)
instrumental-ergative-coinciding,instrumental-case-morphology,gvn,identical-to-ergative,§4
instrumental-case-intransitive,instrumental-case-distribution,gvn,allowed-in-intransitives,§4(a)
ergative-case-intransitive,ergative-case-distribution,gvn,disallowed-in-intransitives,§4(a)
instrumental-case-reflexive,instrumental-case-behavior,gvn,remains-unchanged-in-reflexives,§4(b)
ergative-case-reflexive,ergative-case-behavior,gvn,changes-to-absolutive-in-reflexives,§4(b)
instrumental-case-passive,instrumental-case-behavior,gvn,remains-unchanged-in-passive,§4(c)
ergative-case-passive,ergative-case-behavior,gvn,changes-to-locative-in-passive-with-agent,§4(c)
comitative-case,comitative-case,gvn,distinct,§4.6.1
dative-case-function-reason,dative-case-function-reason,gvn,present,Chapter 4
dative-case-function-parameter-setting,dative-case-function-parameter-setting,gvn,present,Chapter 4
category-2-noun-case-inflection,category-2-noun-case-inflection,gvn,potent/neutral,Chapter 4
locative-inflection-animacy,locative-inflection,gvn,"potent (if animate), neutra1 (if inanimate)",§3.2.4
locative-case-optional,locative-case-optional,gvn,yes,§3.2.4
ablative-inflection-animacy,ablative-inflection,gvn,"potent (if animate), neutral (if inanimate)",§3.2.4
abessive-potent-inflection,abessive-potent-inflection,gvn,no,§3.3.2
perlative-potent-inflection,perlative-potent-inflection,gvn,no,§4.2.4.3
nominal-sentences-copula,copula,gvn,absent,§4.1.5
nominal-sentences-verbless,verbless-sentences,gvn,present,§4.1.5
nominal-sentences-subject-case,subject-case,gvn,absolutive/nominative,§4.1.5
privative-case,privative-case,gvn,present,§4.6.2
yala-comparative-construction,comparative-like-construction,gvn,present,§3.9.2(i)
adjectival-particle-dative-case,adjectival-particle-dative-case,gvn,optional,§3.9.1
word-order-free,word-order,gvn,free,§4.1.6
preferred-order-intransitive,preferred-order-intransitive,gvn,"S V",§4.1.6
preferred-order-transitive,preferred-order-transitive,gvn,"A-O-V",§4.1.6
unmarked-word-order,unmarked-word-order,gvn,"S-V; A-0-V",§4.1.6
pronoun-before-noun,pronoun-before-noun,gvn,yes,§4.1.6
temporal-word-initial,temporal-adverb-position,gvn,initial,§4.1.6
location-word-precedes-locative-np,location-word-precedes-locative-np,gvn,precedes,§4.1.6
interrogative-why-initial,interrogative-why-position,gvn,initial,§4.1.6
word-level-derivations,word-level-derivations,gvn,present,§4.1.6
clause-level-derivations,clause-level-derivations,gvn,present,§4.1.6
inchoative-construction,inchoative-construction,gvn,optional,§4.1.6
state-causative-construction,state-causative-construction,gvn,optional; forms transitive compound verbs from a nominal base or adjectival particle; changes underlying S to O,§4.2.2
action-causative-construction,action-causative-construction,gvn,optional; changes underlying S to O,§4.2.2
transitivisation-restriction,transitivisation-restriction,gvn,disallowed for inflected (locative) and derived (comitative) nominals,Examples
action-causative-transitiviser,action-causative-transitiviser,gvn,y-mani-l,§3.8.5.1(ii)
transitiviser-syntactic-effect,transitiviser-syntactic-effect,gvn,no structural change (adds only semantic causation),Examples
reciprocal-marker,reciprocal-marker,gvn,-wa-y,§4.2.3
reciprocal-verb-intransitivisation,reciprocal-intransitivisation,gvn,yes,§4.2.3
reciprocal-argument-conjoining,reciprocal-argument-conjoining,gvn,required,§4.2.3
reciprocal-construction-present,reciprocal-construction,gvn,yes,Chapter 4
reciprocal-unspecified-np,reciprocal-construction-np-count,gvn,unspecified,Chapter 4
reciprocal-dual-pronoun,dual-reciprocal-pronoun,gvn,yes,Chapter 4
reciprocal-plural-np,plural-np-reciprocal-marking,gvn,yes,Chapter 4
verb-transitivity-marking,verb-transitivity-marking,gvn,not morphologically marked,§4.2.4
intransitive-formation-ji,intransitive-formation-ji,gvn,used for reflexive, passive, and antipassive constructions,§4.2.4
transitivity-determination,transitivity-determination,gvn,determined by NP case marking (A, Ø, or S),§4.2.4
antipassive-construction,antipassive-construction,gvn,present,§4.2.4
reciprocal-construction,reciprocal-construction,gvn,present,§4.2.4
passive-agent,passive-agent-expression,gvn,optional,§4.2.4.3
passive-patient,passive-patient-subject-alignment,gvn,yes,§4.2.4.3
passive-derived-intransitive,passive-derived,gvn,yes,§4
passive-agent-case,passive-agent-case,gvn,locative,§4
passive-object-case-noun,passive-object-case-noun,gvn,absolutive,§4
passive-object-case-pronoun,passive-object-case-pronoun,gvn,nominative,§4
chance-passive,passive-type-chance,gvn,present,§4.2.4.1
topic-passive,passive-type-topic,gvn,present,§4.2.4.1
chance-passive-tense,chance-passive-tense,gvn,past,§4
antipassive,antipassive,gvn,present,§4.2.4.4
passive-unique-ergative,passive-unique-ergative,gvn,present,§4
antipassive-verb-formation,antipassive-suffix,gvn,-ji-,§4
antipassive-agent-case,antipassive-agent-case,gvn,absolutive/nominative,§4
antipassive-object-case,antipassive-object-case,gvn,locative/perlative,§4
antipassive-total-effect,antipassive-total-effect,gvn,simple-form indicates total effect on patient,§4.2.5
antipassive-reduplication,antipassive-reduplication,gvn,present,§4
antipassive-construction-productive,antipassive-construction,gvn,productive,Chapter 4
intransitivisation-antipassive-communication,intransitivisation,gvn,"antipassive-syntax (agent in S, goal in dative)",Chapter 4
antipassive-agent-locative-zero-marking,agent-locative-zero-marking,gvn,yes,Chapter 4
antipassive-goal-dative-marking,dative-case-goal,gvn,yes,Chapter 4
antipassive-patient-demotion,patient-demotion,gvn,ancillary,Chapter 4
derivational-process-count,derivational-process-count,gvn,6,§4.2.5
derivational-process-optional,derivational-process-optional,gvn,"inchoative, causative, antipassive",§4.2.5
derivational-process-obligatory,derivational-process-obligatory,gvn,"reciprocal, reflexive",§4.2.5
passive-chance-passive,passive-chance,gvn,optional,§4.2.5
passive-topic-passive,passive-topic,gvn,"optional or obligatory",§4.2.5
antipassive-transitivity,antipassive-transitivity,gvn,"dichotomous: higher (total effect) or lower (generalised action)",§4.2.5
mixed-syntax,mixed-syntax,gvn,"ergative and nominative/accusative",§4.2.5
pivot-np,pivot-np,gvn,none,§4.2.5
coordinate-intonation,coordinate-intonation,gvn,"non-final rising intonation; final falling intonation",§4.2.5
topic-chain,topic-chain,gvn,"zero-anaphora and deletion of S/A NP allowed",§4.2.5
zero-anaphora-event,zero-anaphora,gvn,"not allowed in event clauses",§4
pronoun-reduction,pronoun-reduction,gvn,preferred,§4
coordination-particles,coordination-particles,gvn,"4 main particles (kari, yamba, kaki, kunka) with optional nganganjirrka",§4
conditional-clause-marker,conditional-clause-marker,gvn,kaki,§4
hypothetical-reason-marker,hypothetical-reason-marker,gvn,"kunka/nganganjirrka",§4.4.4.4
in-turn-clitic,in-turn-clitic,gvn,present,§3.10.3
temporal-clitics,temporal-clitics,gvn,present,§3.10.1
negation-particle,negation-particle,gvn,kari,§4.9.2
contrast-marker,contrast-marker,gvn,"kari/yamba",§4
subordinate-clause-adjunction,subordinate-clause-adjunction,gvn,mandatory,§4.4
subordinate-clause-types,subordinate-clause-types,gvn,"purposive, precautionary, successive, simultaneous action, causal, prior event, hypothetical reason",§4.4
np-deletion-subordinate,np-deletion-subordinate,gvn,free,§4.4
present-future-tense-distinction,present-future-tense-distinction,gvn,absent,§4.4
verb-nya-construction,verb-nya-construction,gvn,"used in subordinate types 4–7",§4.4
purposive-inflection-present,purposive-verbal-inflection,gvn,present,§4.1
purposive-suffix-nkv,purposive-suffix,gvn,-nkV,§4.1
precautionary-verb-form,precautionary-verb-form,gvn,stem + -nyji used only in subordinate clauses,§4.2
precautionary-clause-position,precautionary-clause-position,gvn,follows main clause,§4.2
co-referential-sa-np-deletion,precautionary-sa-np-deletion,gvn,obligatory deletion for co-referential S/A NPs unless main clause is imperative,§4.2
precautionary-oblique-coreference,precautionary-oblique-coreference,gvn,not allowed,§4.2
precautionary-other-deletion,precautionary-other-deletion,gvn,other deletions are optional but preferred,§4.2
precautionary-construction,precautionary-construction,gvn,present,ex.435–444
subordinate-temporal-marker,subordinate-clause-temporal-marker,gvn,-nyjiku,§3.8.4.2(vii)
purposive-clause-dative,dative-noun-function,gvn,general-threat,§4.1.4.4(ii)
coreferential-np-deletion,coreferential-np-deletion,gvn,optional,ex.441
successive-coreferentiality-restriction,coreferentiality-restricted-to-core-nps,gvn,yes,Chapter 4
subordinate-common-np-deletion,common-np-deletion,gvn,obligatory,Chapter 4
different-agents-np-deletion,np-deletion-different-agents,gvn,optional,Chapter 4
different-functions-deletion,deletion-of-coreferential-nps-different-functions,gvn,dispreferred,Chapter 4
verb-nyv-functions,verb-nyv-functions,gvn,"simultaneous action; causal; prior event; hypothetical reason",§4.4
verb-nyv-nominal,verb-nyv-nominal-characteristics,gvn,"nominal (in non-causal clauses)",§4.4
simultaneous-action-subordinate-nyv,simultaneous-clause-marking,gvn,verb+-nyV,§4.4.4.1
simultaneous-action-sentence-coordination,simultaneous-clause-strategy,gvn,sentence coordination,§4.4.4.1
simultaneous-clause-reduplication,subordinate-clause-reduplication,gvn,often,§4
main-clause-word-order,main-clause-word-order,gvn,AOV (preferred),§4
subordinate-ergative-inflection-embedded,subordinate-ergative-inflection,gvn,optional (embedded),§4
subordinate-ergative-inflection-following,subordinate-ergative-inflection,gvn,obligatory (following),§4
co-referential-np-deletion,common-np-deletion,gvn,optional,§4
subordinate-verb-marker,subordinate-verb-marker,gvn,-nyV,§4
verb-nyv-no-case,verb-nyv-case-inflections,gvn,no,§4.2 Causal
causal-noun-ablative,causal-noun-case,gvn,ablative,§4.1.4.4(iv)
causal-action-temporality,causal-action-temporality,gvn,anterior,§4.2 Causal
causal-clause-order,causal-clause-position,gvn,flexible,§4.2 Causal
causal-clause-pronoun-preference,causal-clause-pronoun-preference,gvn,preferred,ex-487
causal-clause-pronoun-deletion,causal-clause-pronoun-deletion,gvn,possible,ex-487
prior-event-clause-formation,prior-event-clause-formation,gvn,"wawu + verb + -nyV + ablative",§4.4.4.3
prior-event-clause-order,prior-event-clause-order,gvn,"flexible (may precede or follow the main clause)",§4.4.4.3
prior-event-coreference,prior-event-coreference,gvn,"requires co-referential NP (S or A) across main and subordinate clauses",§4.4.4.3
prior-event-nominalisation,prior-event-nominalisation,gvn,"verb form (-nyV) is nominalised only when it must bear case inflection",§4.4.4.3
ablative-marking-attraction,ablative-marking-attraction,gvn,"ablative case marking is attracted by nouns, diverting it from a verb + -nyV form",§4.4.4.3
purposive-construction,purposive-constructions,gvn,real,§4.4
hypothetical-reason-marking,hypothetical-reason-marking,gvn,"verb+ -nyV + -Dative",§4.1.4.4(ii)
in-case-clause-marker,in-case-clause-marker,gvn,"kunka (common), nganganjirrka (less common)",§4
relative-clause-marker-none,relative-clause-marker,gvn,absent,§4.4.5
relative-clause-identifying-function,relative-clause-identifying-function,gvn,marginal,§4.4.5
relative-clause-temporal-interpretation,relative-clause-temporal-interpretation,gvn,overriding,§4.4.5
subordinate-np-deletion,np-deletion,gvn,"obligatory co-referential S/A and 0 deletion",§4.6
subordinate-sa-pivot,sa-pivot,gvn,"present",§4.6
subordinate-nominative-accusative,nominative-accusative-characteristics,gvn,"present in subordinate constructions",§4.6
complex-subordinate-sentences,multiple-subordinate-clauses,gvn,"rare",§4.6
purposive-clause-linkage,subordinate-clause-linkage,gvn,"purposive clause tends to be followed by a logically connected clause",§4.6
subordinate-clause-purposive-marker,subordinate-clause-purposive-marker,gvn,"stem + -nkV",Table 4.3
subordinate-clause-precautionary-marker,subordinate-clause-precautionary-marker,gvn,"stem + -nyji",Table 4.3
subordinate-clause-successive-marker,subordinate-clause-successive-marker,gvn,"stem + -nyjiku",Table 4.3
subordinate-clause-simultaneous-marker,subordinate-clause-simultaneous-marker,gvn,"(reduplicated)stem + -nyV + ABS/ERG (reduplicated)stem + -nyV",Table 4.3
subordinate-clause-withperception-marker,subordinate-clause-withperception-marker,gvn,"(reduplicated)stem + -nyV (+ ABS?)(reduplicated)stem + -nyV(+ oblique case)",Table 4.3
subordinate-clause-causal-marker,subordinate-clause-causal-marker,gvn,"stem + -nyV",Table 4.3
subordinate-clause-prior-event-marker,subordinate-clause-prior-event-marker,gvn,"wawu + stem + -nyV + ABL",Table 4.3
subordinate-clause-hypothetical-marker,subordinate-clause-hypothetical-marker,gvn,"stem + -nyV + DAT",Table 4.3
possession-alienable-inalienable,possession-alienable-inalienable,gvn,"distinct constructions",Chapter 4
general-alienable-possession-marker,general-alienable-possession-marker,gvn,"-(V)mu; -(V)ndVmun-",§3.2.3.2
possessive-np-word-order,possessive-np-word-order,gvn,"free",§3.2.3.2
possessor-inanimacy,possessor-inanimacy,gvn,inanimate,§4
possessive-suffix-ambiguity,possessive-suffix-ambiguity,gvn,indistinguishable-from-neutral-locative-if-noun-ends-in-vowel (Nyungkul dialect),§4
double-possessor-construction,double-possessor-construction,gvn,rare,§4
possessor-of-possessor-strategy,possessor-of-possessor,gvn,POSS+LOC-preferred,§4
inalienable-possession-general-np,inalienable-possession-general-np,gvn,present,§4.5.2
inalienable-possession-appositional,inalienable-possession-appositional,gvn,present,§4.5.2
inalienable-possession-case-agreement,inalienable-possession-case-agreement,gvn,yes,§4.5.2
inanimate-possessor-general-possessive, inanimate-possessor-possessive-form, gvn, uncommon, §4.5.3
inanimate-possessor-locative-case, inanimate-possessor-case, gvn, locative, §4.5.3
inanimate-possessor-ablative-case, ablative-case-for-inanimate-possessor, gvn, context-dependent, §4.5.3
locative-possessive-distinction, locative-possessive-distinction, gvn, yes, §4.5.3
former-possession-marker,former-possession-marker,gvn,mali,§4.5.4
former-possession-case,former-possession-case,gvn,locative or ablative,§4.5.4
mali-morphology,ambiguous-morphological-category,gvn,unclear_particle_suffix_or_clitic,Chapter 4
poss-loc-relationship,possessive-locative-relationship,gvn,close,§4.5.5
recipient-marking,recipient-case-marking,gvn,possessive-or-locative,§4.5.5
possessive-np-zero-function,possessive-zero-function,gvn,yes,§4.5.5
kinship-term-case-marking,kinship-term-case-marking,gvn,dual,§4.5.5
comitative-case-marking,comitative-case,gvn,present,§4.6
privative-case-marking,privative-case,gvn,present,§4.6
comitative-suffix-inventory,comitative-suffix,gvn,"-(i)ji, -(V)nji, -(i)jirr-",§4.6
comitative-marker,comitative-marker,gvn,present,§4
comitative-case-locational-usage,comitative-case-locational,gvn,yes,§3.2.3(c)
comitative-case-alienable-possession,comitative-case-alienable-possession,gvn,yes,§3.2.3(d)
comitative-case-attributive,comitative-case-attributive,gvn,yes,§3.2.3(e)
comitative-case-accompaniment-animate,comitative-case-accompaniment-animate,gvn,yes,§3.2.3(ii)(a)
comitative-case-accompaniment-inanimate,comitative-case-accompaniment-inanimate,gvn,yes,§3.2.3(ii)(b)
instrumental-case-body-part,instrumental-case,gvn,mandatory-with-body-part,§4.1.4.4(i)
comitative-intransitive,comitative-case,gvn,intransitive-only,§4.1.4.4(i)
comitative-derivational,comitative-type,gvn,derivational,§4.1.4.4(i)
absolutive-case-realisation,absolutive-case,gvn,zero-realisation,§4.1.4.4(i)
privative-form-frequency,privative-form-frequency,gvn,less frequent than comitative,§6.2
privative-form-predicator,privative-form-predicator,gvn,preferred in equational sentences,§6.2
privative-form-non-accompaniment,privative-non-accompaniment,gvn,rare,§6.2
imperative-from-any-verbal-stem,imperative-from-any-verbal-stem,gvn,yes,§4.7
imperative-subject-pronoun,imperative-subject-pronoun,gvn,explicit-or-implicit-second-person,§4.7
imperative-subject-position,imperative-subject-position,gvn,initial-preferred,§4.7
imperative-reduplication,imperative-reduplication,gvn,encourages-continuation-of-activity,§4.7
imperative-first-person-inclusive,imperative-first-person-inclusive,gvn,attested,§4.7
imperative-desist-particle,imperative-desist-particle,gvn,attested-with-intransitives (optional with transitives),§4.7
imperative-temporal-clitic,imperative-temporal-clitic,gvn,clitic-da-used-to-indicate-immediate-action,§4.7
imperative-immediate-clitic,imperative-immediate-clitic,gvn,clitic-ng-vrr-for-strong-immediacy,§4.7
imperative-polite-distinction,imperative-polite-distinction,gvn,no,§3.10.1
imperative-allomorphs,imperative-allomorphs,gvn,"-ngarr and -rr",§3.10.1
imperative-urgency,imperative-urgency,gvn,"expresses immediacy",§3.10.1
polar-questions-marking,polar-question-marking,gvn,"intonation and paralinguistic","§4.8"
interrogative-pronouns,interrogative-pronouns,gvn,yes,"§4.8"
non-inflecting-adjectival-particles,adjectival-particles-inflection,gvn,non-inflecting,§4.9.1
adjectival-particles-complement,adjectival-particles-complement-type,gvn,"noun in dative case or purposive clause",§4.9.1
adjectival-particles-inchoative-derivation,adjectival-particles-derivation,gvn,complement type maintained,§4.9.1
derived-causative-zero-noun,derived-causative-complementation,gvn,obligatory,(59 1)
derived-causative-optional-goal,derived-causative-goal,gvn,"optional (dative noun or purposive clause)",(59 1)
negation-particles-number,multiple-negation-particles,gvn,2,§3.9.2(ii)
kari-adj-negation,adjective-negation-marker,gvn,"variable placement (pre-adjective when stressed; post-adjective interpreted as privative suffix with predicator function)",§3.9.1
balu-negation-semantic,negation-marker-semantic,gvn,"negation meaning 'desist/give up/refrain' with an implication of inability or disapproval",§4.7
balu-morphology,negation-marker-morphology,gvn,"lacks verbal stem‐formation, privative function, and combination with -bajaku",§3.9.1
balu-governance,governing-case,gvn,"governs a noun in dative case or a purposive clause",§4.9.1
